,Standard Deviation,Mean,Peak-to-Peak,No of Peaks
161,0.3048810472542322,0.0005166816033874845,1.685279993094761,[59 82]
162,0.3057855102588368,0.0010090996425155796,1.701632729376032,[59 85]
163,0.2944891833542236,0.0010247524826958883,1.7199946016306558,[54 82]
164,0.31456188356841375,0.0007447731864804947,1.7248956274172738,[61 82]
165,0.2711023957182644,0.0006846500078702578,1.4704530087657122,[55]
166,0.2947541693725369,0.0009142783815663845,1.6435351398851423,[56 85]
167,0.30781082928339676,0.0008293686088907987,1.695958028790435,[59 85]
168,0.32936035145513076,0.00047077045621290493,1.900677334145604,[59 82]
169,0.33018463943685294,0.0012951863515897558,1.9456769462475554,[55 82]
170,0.3306411534146065,0.0012812390380173965,1.9476207829365433,[55 82]
171,0.294602134558027,0.001699432403449816,1.6449819310263007,[48 59 80]
172,0.29882463857862135,0.0009644079947244799,1.6817416324194072,[56 84]
173,0.30827113447987226,0.0015050893939266327,1.8145710402867543,[48 59 82]
174,0.31047855050398165,0.001028990702132476,1.744195157751979,[56 84]
175,0.2918398287440302,0.0009796455350678775,1.7238817229030095,[52 81]
176,0.312583166909433,0.0011456548735916039,1.8198130015182985,[55 80]
177,0.30106219642969967,0.0008781588027820942,1.6987337697621603,[59 88]
178,0.3330272725714087,0.0008445717819406421,1.83439843375809,[63 86]
179,0.3073522781724589,0.0011348318731984567,1.7794975042437364,[59 86]
180,0.29639673878472,0.0009293933061968736,1.7260802354338614,[54 75]
181,0.2760182789136369,0.0013308875861843311,1.5303962173603796,[56 78]
182,0.30732074214815547,0.0007025550364364117,1.7760602793542593,[59 88]
183,0.3009124163688654,0.0015596958479905882,1.7866378565046315,[48 59 82]
184,0.2978889263315498,0.0009589866510894584,1.7300194559182738,[55 82]
185,0.2990970892207614,0.0010438090798698286,1.696649796498971,[56 85]
186,0.33005252602787977,0.001185514353092891,1.9458927311641028,[56 82]
187,0.3016350448580625,0.001080990625122086,1.7206405914216016,[58 86]
188,0.3239166137522998,0.0009153714558633714,1.8875266623422622,[54 75]
189,0.364141356904491,0.003076792935438532,1.7614458151493364,[ 5 14 19 28 49 59 81]
190,0.2875590863011589,0.0010081693369209004,1.6884140561346945,[55 82]
191,0.3223345751031051,0.0012598603797941772,1.854792467266237,[56 81]
192,0.32733957071329195,0.0013173069259540167,1.9123147935824005,[58 81]
193,0.3216607991330265,0.001349453231290081,1.8692813618266173,[56 81]
194,0.3112814666429774,0.001011019891158525,1.83249135308319,[55 81]
195,0.3277312093078631,0.0012703475081934385,1.8839532589126593,[56 82]
196,0.32699818899793853,0.0012911047447341608,1.8987829607345814,[54 75]
197,0.29922418212645036,0.0010991073756074377,1.7125778076316394,[55 78]
198,0.30786260745933025,0.0006993619388219532,1.673786630283052,[59 86]
199,0.2968082703727772,0.0009452399714052459,1.7381278174854973,[55 82]
200,0.32789506319001477,0.0006898210932183656,1.8798100212907982,[59 82]
201,0.3062645754161236,0.0009408229802405355,1.7287015512831378,[55 82]
202,0.3296198969539377,0.0011664595431374867,1.8739502913795576,[54 76]
203,0.30539061047553895,0.0006775052931150704,1.659845041117248,[59 86]
204,0.33183574469773897,0.0012576475638438943,1.9399299493564826,[55 82]
205,0.334615373213803,0.0013790135341127205,1.8085225961594342,[56 80]
206,0.2740798669958538,0.0011599211573071148,1.514487320130702,[56 78]
207,0.29723093243249,0.0010189507751964747,1.7662525332479495,[55 82]
208,0.23187897074249492,0.00037596424933444676,1.5525631291421451,[55]
209,0.33232651362593263,0.0009957678373634347,1.5542566543176712,[ 30  56  85 101]
210,0.2918652465171993,0.0010322889698374156,1.720190128489127,[55 82]
211,0.29745823162489826,0.0009701600445194422,1.7327839920619674,[54 75]
212,0.2808576623785008,0.0007743837108987384,1.4257772030981937,[59 82]
213,0.27816040681132276,0.0012673127732968105,1.513267487505567,[56 82]
214,0.3435175194083088,0.0005425571769644674,1.975593987908074,[59 82]
215,0.29934476673324817,0.0012339001593157056,1.5394956720482524,[59 82]
216,0.28214195337643594,0.001040386435315138,1.644501554433925,[55 84]
217,0.3146329534143928,0.000894953192038081,1.7649188284850603,[59 88]
218,0.2793652253249107,0.0015759217556801449,1.536631141119309,[56 80]
219,0.29198028863560255,0.00088815195513138,1.717427076372679,[55 82]
220,0.3028647862126002,0.0009817820521643068,1.7709624745227264,[54 75]
221,0.28136667185895375,0.00023345504601284822,1.514316710868505,[59 85]
222,0.32114168106744506,0.0011237418158744818,1.8871457275405623,[55 78]
223,0.29330196722309626,0.0009253615416486727,1.7091497136267804,[55 82]
224,0.34402151394329855,0.00030418944839393294,1.9246548931585037,[61 82]
225,0.30789100684673987,0.0007248808168362682,1.7003021732918788,[59 86]
226,0.31878905465217683,0.001505213101881853,1.8668886059220806,[56 80]
227,0.30657284475300606,0.0010187263706608015,1.7782382395995293,[55 81]
228,0.30804909986688755,0.0010357917593931407,1.7768532413780433,[55 82]
229,0.3207784370756181,0.0012191217497024376,1.7906637437935586,[59 85]
230,0.3001132193707533,0.0009352461540493441,1.688418897751167,[54 81]
231,0.2986046059539505,0.00091526406245737,1.72614434340406,[55 81]
232,0.30803993336093966,0.0009602011768466199,1.6963438500679047,[56 84]
233,0.30058396561728395,0.0009691969952711886,1.7026831988912878,[52 80]
234,0.33252715103867503,0.0012249039813054252,1.9758459467805296,[55 80]
235,0.29731336841370204,0.0009730861177187778,1.7467797004152807,[55 84]
236,0.28842833470000445,0.0016125591779921071,1.604594749466407,[49 59 81]
237,0.30929381125745997,0.0015446780834752418,1.7178030297536657,[49 59 80]
238,0.345912648909207,0.0006223678109614104,1.9569995058497671,[59 82]
239,0.37910937352738083,0.0011096035513058758,1.8541007341857554,[56 85]
240,0.3200472616753973,0.0012166265755353654,1.7937124076063116,[56 82]
241,0.32946774166907716,0.0013785101834476242,1.9359755239411556,[56 80]
242,0.31020199852731095,0.000781688980400633,1.5719067390473769,[59 82]
243,0.3292627081186706,0.001646646359006127,1.7015642483503917,[14 29 49 59 82]
244,0.2782482440615363,0.0014485006617791613,1.545470356173506,[56 80]
245,0.31111122423173415,0.0013060437329189057,1.7693207226827856,[55 80]
246,0.31462658145201217,0.001166645525945391,1.796267677307764,[56 85]
247,0.3060988477647585,0.0006732926956540405,1.6937366106577847,[59 81]
248,0.28069562046070035,0.0012614831031173997,1.4806326875506057,[56 82]
249,0.3082067876671622,0.0010503745935831958,1.728170063177028,[56 84]
250,0.29772709510035716,0.0009207882386191528,1.6674459741147085,[55 82]
251,0.32239601327990897,0.0012212330368954704,1.8535342170517737,[59 82]
252,0.3283031465044862,0.0015161123106943288,1.9056142788423798,[59 81]
253,0.2665032147602277,0.001196269202211984,1.4931004081046786,[55 75]
254,0.31086979167732426,0.0004932302184596292,1.6181086174330108,[59 84]
255,0.30721973642605455,0.0010513554285907182,1.7723752346200283,[58 85]
256,0.3052968185434488,0.001004198011225675,1.6832743922943214,[56 85]
257,0.2860242375332616,-0.001453468125629453,1.540620256182284,[ 56  85 131]
258,0.3075076842172059,0.0008732361161572798,1.7295821631014046,[59 88]
259,0.35989046315885115,0.0012897575247682426,1.9966395894994218,[55 82]
260,0.30831013483608505,0.001470861747140661,1.7974479109670525,[56 80]
261,0.25858209637512475,0.0006786580573128565,1.3733968347788075,[54]
262,0.3091866590904483,0.0016705069882607107,1.7306119502682202,[49 59 81]
263,0.28103960068904876,0.0010826922650734587,1.5177535560237072,[55 80]
264,0.3302555658966082,0.0012451976867445711,1.9704833193052391,[55 81]
265,0.2664458522695057,0.0011545931956317658,1.506537840513164,[56 82]
266,0.3172560050344991,0.000856417427414889,1.8116243252265591,[59 88]
267,0.33304905799404516,0.0012448527630247656,1.892715372482975,[56 82]
268,0.3429259480180921,0.0013617532718889869,1.9121514842232537,[58 82]
269,0.2712558253845044,0.0006370749739376023,1.4822911913917063,[54 78]
270,0.32794942600429144,0.0012675908611462833,1.9315829412144654,[55 81]
271,0.30806145454215234,0.001020740027067513,1.7827171444947734,[55 81]
272,0.30803501047960213,0.0014405469919061714,1.8001859845678778,[55 80]
273,0.3135993802977594,0.0010565484518331126,1.7637752690414028,[56 84]
274,0.3020511481410405,0.0010334979274520335,1.7659239655386205,[55 82]
275,0.3324170747219577,0.001551957997734652,1.8845981684404927,[59 82]
276,0.316147135265643,0.0010618635265869406,1.8036345871508173,[54 78]
277,0.28068540583491725,0.0008931956095927466,1.545860165284862,[55 80]
278,0.2879639455929213,0.0016340598864348762,1.5926995512454623,[48 56 80]
279,0.26065637395199037,0.0011636546898052,1.508204349231014,[55 81]
280,0.33409511681223697,0.0014211309537326753,1.9808596613681675,[56 80]
281,0.3349726805572734,0.001289440610827793,1.9739891072761135,[55 80]
282,0.3249079581163933,0.001317153142624065,1.8641715145015474,[58 81]
283,0.32811721882213046,0.00138742257428509,1.867023135747929,[56 81]
284,0.2882783695101876,0.001026865344415923,1.7291574530025082,[55 82]
285,0.3043567032700584,0.0010407025552409712,1.699658964296852,[59 85]
286,0.32158087137280594,0.0014631153082645338,1.8765163798195226,[59 82]
287,0.3202821994232378,0.0009951870095075963,1.7232215391686112,[52 80]
288,0.2980162274433474,0.0012206771123101665,1.7511906426672645,[55 80]
289,0.3423185439791748,0.00042573952010617293,1.94322497002518,[59 82]
290,0.2521539177814935,0.0006850839750877485,1.4648765720845207,[55 81]
291,0.34212879805216134,0.0014754834088034014,1.82073931079962,[ 56  81 131]
292,0.33264248453928824,0.0012988414988877456,1.9819663844142137,[55 80]
293,0.33661004270707096,0.0013628475328476392,1.95429672741594,[58 81]
294,0.29800106696853657,0.0009666703584656211,1.653110145165779,[59 85]
295,0.2770632840473906,0.0009103876859568976,1.6668487668887237,[55 82]
296,0.33088243798583716,0.0012441039799098617,1.9387344256462193,[55 82]
297,0.25534530033587155,0.0008362620112892352,1.3676822932850277,[54]
298,0.2973196031817739,0.0016420192482199244,1.5938438141890587,[49 59 81]
299,0.2987617037329284,0.0009318101050268317,1.6751353575408223,[56 84]
300,0.308743976032918,0.0015908724285216957,1.8169860889108485,[48 59 82]
301,0.31545495539318985,0.0012083380230964104,1.854557669651252,[56 80]
302,0.3308922994496303,0.0014762250180255837,1.92074302359692,[59 82]
303,0.3284944798306678,0.001458912189906185,1.9322918493262558,[59 82]
304,0.3111673032775006,0.0005979922459263096,1.7464064162578876,[51 61 82]
305,0.29438359441697276,0.00146095527259684,1.6083582111171086,[48 59 80]
306,0.3300673846624542,0.0013265452676428301,1.9421836097291152,[56 80]
307,0.2846162686109616,0.0010559463264587922,1.7030872915845583,[55 84]
308,0.33060568724090433,0.00034700772900080426,1.885729991983177,[59 82]
309,0.2921526427426956,0.0011028287107914111,1.7303292722415835,[54 82]
310,0.30476768148631384,0.0010315771738773048,1.7931737715632288,[55 82]
311,0.31523838652257535,0.0010302060891127544,1.841444433158308,[55 81]
312,0.2794140437080013,0.001480578812475975,1.528834186844386,[56 78]
313,0.29950638391588097,0.0009350984191972209,1.7294778687983694,[55 82]
314,0.3273360761276688,0.0014584354126775596,1.8972023081765539,[59 81]
315,0.294890269837541,0.0015743767794422982,1.6361555290937697,[49 59 81]
316,0.3061586038936559,0.0006602215414185838,1.6655506189970035,[59 86]
317,0.3179723648193279,0.0012483259214992263,1.8201227555338062,[55 78]
318,0.3170271093006572,0.0012500484565486118,1.8552684490401603,[59 82]
319,0.3048998639825811,0.001035517953815299,1.6814478638768422,[58 85]
320,0.30040131392721336,0.0016974705699550913,1.6349586550429163,[48 59 80]
321,0.2933684894777629,0.0007875484281937948,1.7034227873991594,[55 78]
322,0.3007106867281291,0.0010076937637408486,1.6550602133974648,[59 85]
323,0.29595768317808446,0.0010271697461130957,1.7363435819491833,[52 81]
324,0.32428778076750603,0.0012370449081533176,1.6399660621732535,[56 80]
325,0.32611980556362236,0.0017023168557485202,1.7415762472703387,[51 61 85]
326,0.2919652035110138,0.0017012591100880375,1.6547970108595398,[49 59 81]
327,0.3029747940426861,0.001435095766504297,1.781581059897858,[56 80]
328,0.3121207138121606,0.0011426362097713605,1.7972343848711843,[59 86]
329,0.32708391314071517,0.0011897001537352731,1.904012828371462,[56 82]
330,0.31783904987747497,0.001216635571116725,1.8352217431502398,[56 82]
331,0.3352341295225737,0.0014174413056625345,1.9826448413238889,[56 80]
332,0.30705896760463053,0.0010369698793594086,1.7843355848779985,[55 82]
333,0.3422648475868209,0.000384108753128032,1.9466635312586482,[59 82]
334,0.33089266421536967,0.001395633273059787,1.9266418218788501,[58 81]
335,0.3241619682470553,0.0010452698233140655,1.7846957300608395,[56 84]
336,0.3195171164429382,0.001054581798372832,1.836567015408461,[55 78]
337,0.31532995522834045,0.0010691099060015556,1.8492434271905331,[55 80]
338,0.29019592984529774,0.0009850253831789563,1.727071138341652,[55 82]
339,0.33504309840038154,0.0012662833582450011,1.9162637908274127,[56 82]
340,0.3285351016574694,0.001469323837772822,1.925511612001281,[59 82]
341,0.2930398534228278,0.00142613525837274,1.5823177231283014,[56 82]
342,0.301103234944703,0.0010204254971273247,1.6745538724772921,[59 85]
343,0.33599328068930806,0.0018406486489148082,1.9050782363288934,[14 29 48 59 82]
344,0.30103387074980476,0.0015611233991754416,1.6596902602702213,[49 59 81]
345,0.31843827316575113,0.0006156131318057758,1.8539060106064746,[59 88]
346,0.2886830373613842,0.0006314093994191541,1.6185301451896599,[59 84]
347,0.31906883424823945,0.0011941871184035146,1.896100526729731,[55 80]
348,0.3392609266551161,0.0013389121943773947,1.9731305977195874,[56 80]
349,0.26071896802257816,0.0010084516340996895,1.4610921882147063,[56 82]
350,0.32551372924537,0.0012194874484154192,1.911938109441547,[55 82]
351,0.2564333283491238,0.0007044133309518227,1.4338754498815962,[54]
352,0.3127353027714483,0.0007749472957797936,1.7941409792547804,[59 88]
353,0.33340037807390244,0.00034297602696924123,1.5983913303821464,[ 59  84 131]
354,0.2960112857340254,0.0010484854417096294,1.7383218391084836,[56 85]
355,0.3067956412521842,0.00036429461699823254,1.685937817842023,[61 82]
356,0.310258373802796,0.0007763765832132122,1.7891907392808042,[59 88]
357,0.287572270637893,0.0012485924298844763,1.668334455138483,[55 78]
358,0.2900743767244664,0.0010457894140810454,1.6674634484403201,[52 81]
359,0.3111656337065494,0.001013993601218043,1.7747864573339274,[55 82]
360,0.3243298006848071,0.0012978265664381837,1.9019057627719749,[59 82]
361,0.2988979228825206,0.0009685698105614926,1.7261321918568384,[55 82]
362,0.3484473290520843,0.0007134169544109941,1.974600231929573,[59 82]
363,0.3568316250860386,0.0015344014640051105,1.9392892504719486,[56 81]
364,0.27345961596164586,0.0013126478527061354,1.5445673154575301,[59 82]
365,0.3358579668605935,0.0010165355118020014,1.9510882165881698,[59 82]
366,0.33268936586939396,0.0014688310721214523,1.9287840707925452,[59 81]
367,0.302624983870738,0.001368505807459827,1.765158509249665,[55 80]
368,0.30016248982029925,0.0007161175105928839,1.5760701536318327,[59 85]
369,0.30733638541784836,0.0012041546611116223,1.7949667247414607,[55 80]
370,0.3291511947923124,0.001228209511961888,1.8819848669559156,[56 82]
371,0.264207788857723,0.0012827330260637615,1.4845405885883298,[55 75]
372,0.28319254167884716,0.0004915889506526418,1.5371149211550525,[59 85]
373,0.30996196843635454,0.0009785425694277502,1.7356579330248785,[56 84]
374,0.3003509150307096,0.0014182702813443139,1.7537707750074296,[55 80]
375,0.307850634508228,0.0010123181893284467,1.801927208594116,[55 81]
376,0.2988566025774868,0.0006373566883350094,1.6186277084287877,[59 86]
377,0.2944387257686396,0.0014933976934286537,1.5934287323203034,[58 80]
378,0.33144791117180006,0.001239526165823758,1.9324759038129917,[56 82]
379,0.3354690590249146,0.001264749164540387,1.923232360316042,[56 82]
380,0.30976763707474925,0.001046299579579011,1.8310533791350754,[55 81]
381,0.2975498514926759,0.0009215143472716682,1.6992599013544554,[55 82]
382,0.3174892262886027,0.0010571972179363568,1.7593265826893683,[56 84]
383,0.3133740936588487,0.0016206480571166054,1.810288919403805,[47 56 81]
384,0.3230660791137373,0.0014133685589200506,1.8659251190929933,[59 82]
385,0.3295196608573788,0.0013679551001191895,1.8685748316073654,[59 85]
386,0.2914410462292044,0.0008751576392277669,1.5691707925306932,[56 85]
387,0.3228870012003298,0.0014649055742301951,1.8623749281904538,[59 81]
